year,state_fips,state_abbr,state_name,county_fips,county_name,n1,n2,a00100,a00200,a00300,a00600
1989,05,AR,Arkansas,069,Jefferson,32382.0,74299.0,749170.0,591010.0,53441.0,9858.0
1989,05,AR,Arkansas,071,Johnson,6692.0,15210.0,123400.0,91170.0,11489.0,1250.0
1989,05,AR,Arkansas,073,Lafayette,3093.0,7222.0,54660.0,39440.0,4778.0,534.0
1989,05,AR,Arkansas,075,Lawrence,6645.0,15085.0,118960.0,82590.0,10510.0,1105.0
1989,05,AR,Arkansas,077,Lee,3659.0,9126.0,61850.0,42230.0,4915.0,777.0
1989,05,AR,Arkansas,079,Lincoln,3615.0,8916.0,67160.0,54400.0,4037.0,335.0
1989,05,AR,Arkansas,081,Little River,5352.0,12514.0,112860.0,96710.0,6348.0,566.0
1989,05,AR,Arkansas,083,Logan,7662.0,17604.0,136430.0,103320.0,11094.0,1090.0
1989,05,AR,Arkansas,085,Lonoke,15142.0,35807.0,342320.0,271850.0,18776.0,2112.0
1989,05,AR,Arkansas,087,Madison,4245.0,10064.0,70700.0,53230.0,6191.0,740.0
1989,05,AR,Arkansas,089,Marion,4457.0,9750.0,80380.0,49170.0,11716.0,1882.0
1989,05,AR,Arkansas,091,Miller,13905.0,31857.0,299780.0,242030.0,19458.0,3102.0
1989,05,AR,Arkansas,093,Mississippi,21356.0,51103.0,427780.0,335000.0,22222.0,4681.0
1989,05,AR,Arkansas,095,Monroe,4045.0,9337.0,67870.0,46200.0,5988.0,624.0
1989,05,AR,Arkansas,097,Montgomery,2631.0,5872.0,41890.0,27660.0,5064.0,769.0
1989,05,AR,Arkansas,099,Nevada,3726.0,8600.0,65100.0,50320.0,6222.0,838.0
1989,05,AR,Arkansas,101,Newton,2646.0,6269.0,39100.0,29390.0,2985.0,414.0
1989,05,AR,Arkansas,103,Ouachita,12132.0,28078.0,274110.0,220030.0,17750.0,2472.0
1989,05,AR,Arkansas,105,Perry,2933.0,6706.0,55230.0,42470.0,5463.0,414.0
1989,05,AR,Arkansas,107,Phillips,9398.0,22850.0,158940.0,118900.0,12106.0,2266.0
1989,05,AR,Arkansas,109,Pike,3561.0,8424.0,60800.0,46420.0,6186.0,671.0
1989,05,AR,Arkansas,111,Poinsett,9279.0,21219.0,177790.0,127330.0,11767.0,2212.0
1989,05,AR,Arkansas,113,Polk,6347.0,14530.0,103540.0,72300.0,9902.0,1750.0
1989,05,AR,Arkansas,115,Pope,17171.0,39387.0,390690.0,308240.0,24608.0,4237.0
1989,05,AR,Arkansas,117,Prairie,3540.0,8032.0,70770.0,45070.0,6013.0,408.0
1989,05,AR,Arkansas,119,Pulaski,156777.0,331017.0,4248150.0,3328680.0,276118.0,72023.0
1989,05,AR,Arkansas,121,Randolph,5885.0,13473.0,104520.0,78050.0,8244.0,981.0
1989,05,AR,Arkansas,123,St. Francis,9777.0,23841.0,167460.0,132900.0,11076.0,1752.0
1989,05,AR,Arkansas,125,Saline,22031.0,50310.0,547710.0,447830.0,26677.0,3234.0
1989,05,AR,Arkansas,127,Scott,3469.0,7972.0,63350.0,42840.0,5860.0,398.0
1989,05,AR,Arkansas,129,Searcy,2720.0,6291.0,39560.0,27520.0,3856.0,377.0
1989,05,AR,Arkansas,131,Sebastian,41716.0,90647.0,1038660.0,786600.0,81114.0,15886.0
1989,05,AR,Arkansas,133,Sevier,5051.0,12022.0,92270.0,72380.0,6844.0,615.0
1989,05,AR,Arkansas,135,Sharp,5321.0,11781.0,89390.0,53610.0,11235.0,2921.0
1989,05,AR,Arkansas,137,Stone,3298.0,7451.0,50820.0,34120.0,5322.0,514.0
1989,05,AR,Arkansas,139,Union,18591.0,42609.0,463090.0,327020.0,43820.0,18467.0
1989,05,AR,Arkansas,141,Van Buren,5060.0,11076.0,88670.0,52220.0,10613.0,2837.0
1989,05,AR,Arkansas,143,Washington,46139.0,99662.0,1069320.0,813850.0,79680.0,19037.0
